body_pre,body_post,weight
522991,13559,91
519140,511844,91
12248,13418,91
19760,512928,91
37640,30541,91
37817,42264,91
12706,520468,91
22240,511778,91
61398,94433,91
12706,29046,91
35461,31656,91
512928,14552,91
12359,67598,90
10969,30807,90
10539,58834,90
524876,28248,90
27195,29836,90
27191,27179,90
11053,100809,90
11886,521528,90
10514,33410,90
37817,527199,90
10969,23619,90
20653,22461,90
526638,557395,90
68917,28364,90
513702,104220,90
28364,20951,90
27195,511842,90
18178,20997,90
529385,511778,90
12506,38706,90
543506,42059,90
12706,530339,90
522972,13559,90
533062,10324,90
42231,513266,90
512514,517763,90
34924,56542,90
19323,22461,90
565465,28582,90
565465,74666,90
26739,11497,90
33325,10537,90
31656,524654,90
24399,59983,90
12449,81159,90
511844,10969,90
17016,24683,90
11307,520818,90
76194,520581,90
12656,511778,90
46590,512362,90
11516,131537,90
19169,38084,90
11516,61234,90
11516,59735,90
14677,521644,90
520812,14871,90
69515,524876,90
517726,171862,89
434891,555342,89
20520,531755,89
515675,512513,89
12059,12656,89
521528,11433,89
512928,10099,89
12706,27903,89
10969,25184,89
515687,49952,89
513283,84758,89
17816,25549,89
10099,84758,89
12359,153375,89
12706,54912,89
520818,46764,89
14464,535347,89
565465,23071,89
19323,28339,89
42059,516110,89
20818,10539,89
25773,556502,89
12674,26439,89
19602,82613,89
46008,59969,89
515234,69064,89
16818,23315,89
16818,28339,89
555342,81159,89
11053,12358,89
11053,42059,89
555342,76194,89
67241,13142,89
28190,24399,89
28339,22461,89
511841,555342,88
46590,17816,88
12104,55527,88
520468,29046,88
19238,45155,88
10099,13217,88
21664,527199,88
22461,19323,88
555342,521814,88
20653,28339,88
12506,515933,88
13902,48558,88
50808,19410,88
19100,52041,88
520812,20007,88
520818,12506,88
34972,11886,88
27109,515130,88
20653,23315,88
21345,22086,88
10514,23630,88
13094,19737,88
26443,14464,88
522974,15458,88
67241,520435,88
10324,12059,88
17801,580329,88
17801,13490,88
536441,13142,88
30341,11886,88
38182,516919,88
15654,40768,88
13101,13033,88
12359,55481,88
521813,294178,88
40390,11307,88
12359,135453,88
21345,11497,87
561332,18221,87
10324,513379,87
511841,21932,87
12359,107571,87
14677,518779,87
17816,25024,87
30341,12656,87
10514,17728,87
17552,74666,87
13392,99820,87
533943,20969,87
48642,55415,87
25334,17602,87
12359,84064,87
15325,27213,87
29493,34924,87
22446,33356,87
21932,515675,87
512514,511844,87
13732,513034,87
15713,512793,87
82111,45155,87
519941,12506,87
515232,13490,87
30234,513702,87
39813,11307,87
12674,14540,87
41331,13142,87
18482,90697,87
517726,72669,87
516110,100809,87
513379,12656,87
10099,35743,87
45969,512319,87
39813,46764,87
43127,513702,87
18419,51159,87
17820,36059,87
47528,32675,87
15654,555342,87
47528,32718,87
28559,513217,87
28559,28254,87
28339,16818,86
17820,16303,86
520468,40558,86
