intermediate_body,intermediate_type,intermediate_superclass,pfl3_input,pfl2_input,pfl1_input,dn_body,dn_type,dn_instance,weight
14493,VES071,cb_intrinsic,1,0,0,11078,DNg96,DNg96_L,15
40888,LAL196,cb_intrinsic,0,9,0,512071,DNae001,DNae001(DNa01)_L,15
519947,PPM1205,cb_intrinsic,1,0,0,523769,DNa02,DNa02_L,15
10110,OA-VUMa1,cb_intrinsic,9,15,0,230783,DNg97,DNg97_R,15
519944,LAL124,cb_intrinsic,21,0,0,512071,DNae001,DNae001(DNa01)_L,15
519944,LAL124,cb_intrinsic,21,0,0,11596,DNpe022,DNpe022(PS271)_R,15
519944,LAL124,cb_intrinsic,21,0,0,10304,DNge041,DNge041_R,15
529641,LAL018,cb_intrinsic,111,19,0,10460,DNa09,DNa09_R,15
13327,VES005,cb_intrinsic,324,0,0,10360,DNa02,DNa02_R,15
12755,LAL182,cb_intrinsic,0,0,17,10417,DNp103,DNp103(PVLP119)_L,15
33677,LAL056,cb_intrinsic,25,0,0,13615,DNbe006,DNbe006_R,15
12755,LAL182,cb_intrinsic,0,0,17,12750,DNge136,DNge136_R,15
12755,LAL182,cb_intrinsic,0,0,17,12085,DNge136,DNge136_L,15
41291,LAL061,cb_intrinsic,0,0,1,10026,DNp18,DNp18_R,15
36878,AOTU002_c,cb_intrinsic,1,0,0,521262,DNae002,DNae002(DNa04)_R,15
14200,PS018_a,cb_intrinsic,14,29,0,521262,DNae002,DNae002(DNa04)_R,15
10338,LoVC11,visual_centrifugal,1,237,0,10985,DNbe004,DNbe004(PS066)_R,15
13921,IB021,cb_intrinsic,31,0,2,10672,DNae009,DNae009(PS009)_R,15
10097,oviIN,cb_intrinsic,5,0,0,10712,DNp36,DNp36(CL342)_L,15
524159,PS011,cb_intrinsic,31,1,0,11797,DNge041,DNge041_L,15
230783,DNg97,descending_neuron,127,0,0,513057,DNge046,DNge046_L,15
570381,SMP110,cb_intrinsic,0,0,1,10959,DNg98,DNg98_R,15
106331,PS192,cb_intrinsic,0,0,8,514489,DNg49,DNg49(hb1405978277)_R,15
516565,PS233,cb_intrinsic,0,16,0,10384,DNp63,DNp63(PS113)_R,15
549208,LAL022,cb_intrinsic,10,1,0,262979,DNg02_b,DNg02_b_R,15
10041,OA-VUMa1,cb_intrinsic,20,28,0,11332,MDN,MDN_R,15
10041,OA-VUMa1,cb_intrinsic,20,28,0,11111,DNbe003,DNbe003(hb5813024933)_L,15
18480,LAL164,cb_intrinsic,111,79,0,10384,DNp63,DNp63(PS113)_R,15
16166,WED082,cb_intrinsic,0,0,224,524146,"DNp51,DNpe019","DNp51,DNpe019(PS296)_R",15
514467,IB049,cb_intrinsic,49,0,0,12223,DNpe027,DNpe027(PS166)_R,15
514467,IB049,cb_intrinsic,49,0,0,517830,DNge030,DNge030_R,15
10041,OA-VUMa1,cb_intrinsic,20,28,0,10885,DNg88,DNg88_L,15
512392,LAL011,cb_intrinsic,1,0,0,521624,DNpe023,DNpe023(LAL201)_R,15
12273,PS233,cb_intrinsic,0,7,0,10837,DNa15,DNa15(PS017)_R,15
515231,PS026,cb_intrinsic,40,0,0,11002,DNae002,DNae002(DNa04)_L,15
515231,PS026,cb_intrinsic,40,0,0,12189,DNb08,DNb08(VES083)_L,15
17031,LPT31,visual_projection,0,0,2,513296,DNb03,DNb03_L,14
13930,LAL102,cb_intrinsic,7,0,0,11706,DNg111,DNg111(hb1573072464)_R,14
13930,LAL102,cb_intrinsic,7,0,0,10674,DNp59,DNp59(CL247)_L,14
519945,PS300,cb_intrinsic,4,0,0,14332,DNae006,DNae006(PS045)_R,14
519925,LAL040,cb_intrinsic,671,4,0,12348,MDN,MDN_L,14
519925,LAL040,cb_intrinsic,671,4,0,10760,DNa01,DNa01(VES006)_R,14
11410,DNpe023,descending_neuron,1,4,0,521445,DNge063,DNge063_R,14
519925,LAL040,cb_intrinsic,671,4,0,10384,DNp63,DNp63(PS113)_R,14
11477,LHPV6q1,cb_intrinsic,0,0,10,20821,DNg08,DNg08_R,14
10210,LAL074,cb_intrinsic,0,39,0,11846,DNp102,DNp102(PS212)_L,14
553194,VES054,cb_intrinsic,797,15,7,522432,DNp56,DNp56(VES055)_L,14
12429,LAL190,cb_intrinsic,177,3,1,529568,DNp39,DNp39(PS297)_L,14
13327,VES005,cb_intrinsic,324,0,0,230783,DNg97,DNg97_R,14
12429,LAL190,cb_intrinsic,177,3,1,20131,DNpe004,DNpe004_L,14
101035,SMP382,cb_intrinsic,0,0,4,11259,DNp68,DNp68(CL138)_R,14
14153,SMP489,cb_intrinsic,0,0,1,10713,DNp42,DNp42_L,14
11410,DNpe023,descending_neuron,1,4,0,11421,DNge048,DNge048_L,14
10546,LAL125,cb_intrinsic,35,0,0,12214,DNg109,DNg109_R,14
26038,PFL3,cb_intrinsic,27,0,7,10759,DNb01,DNb01_R,14
555726,DNa13,descending_neuron,0,33,0,256420,DNge050,DNge050_R,14
11111,DNbe003,descending_neuron,4,0,0,11198,DNg19,DNg19_R,14
11194,VES059,cb_intrinsic,166,24,0,10304,DNge041,DNge041_R,14
24688,LAL076,cb_intrinsic,413,584,2,10654,DNb01,DNb01_L,14
19502,VES200m,cb_intrinsic,45,0,0,10449,DNpe025,DNpe025(PVLP145)_L,14
